"","n","Coefficient","value","rescale"
"95","cod","b",0.274446165228399,2.14226282153175
"96","cod","c",-0.00610991464556787,2.14226282153175
"97","cog","a",-3.25427124872433,1.93538781497351
"98","cog","b",0.274051536733658,1.93538781497351
"99","cog","c",-0.00575960424413536,1.93538781497351
"100","col","a",-2.89150068550335,2.16693212689376
"101","col","b",0.263902722843788,2.16693212689376
"102","col","c",-0.00601379192636428,2.16693212689376
"103","com","a",-3.35439389096505,1.76334639485488
"104","com","b",0.269012404536641,1.76334639485488
"105","com","c",-0.00538126875645763,1.76334639485488
"106","cpv","a",-2.97192606190871,2.05954163302208
"107","cpv","b",0.263903507767264,2.05954163302208
"108","cpv","c",-0.00584997061373791,2.05954163302208
"109","cri","a",-3.54277119624446,1.79500653697319
"110","cri","b",0.281166720787548,1.79500653697319
"111","cri","c",-0.0055665857855034,1.79500653697319
"112","cyp","a",-6.18592561775603,10.7028127688886
"113","cyp","b",0.728414083193738,10.7028127688886
"114","cyp","c",-0.0214426916283123,10.7028127688886
"115","cze","a",-0.252097635263255,1.78288363412021
"116","cze","b",0.053894372876597,1.78288363412021
"117","cze","c",-0.00286250026080596,1.78288363412021
"118","deu","a",-0.283356384874153,1.93685614305581
"119","deu","b",0.0588476542659603,1.93685614305581
"120","deu","c",-0.0030419499110934,1.93685614305581
"121","dji","a",-3.5783572237124,1.85386316491321
"122","dji","b",0.286994407312286,1.85386316491321
"123","dji","c",-0.00574313747035545,1.85386316491321
"124","dnk","a",-0.271027857850879,1.94917634916703
"125","dnk","b",0.0612387083994269,1.94917634916703
"126","dnk","c",-0.00343892725279569,1.94917634916703
"127","dom","a",-3.28128313068708,1.91696956322294
"128","dom","b",0.274522957994775,1.91696956322294
"129","dom","c",-0.00573159038956926,1.91696956322294
"130","dza","a",-3.56626496621252,5.32135134830508
"131","dza","b",0.403447286308674,5.32135134830508
"132","dza","c",-0.0114088107263115,5.32135134830508
"133","ecu","a",-2.50843937299662,2.48496993002519
"134","ecu","b",0.250177984080283,2.48496993002519
"135","ecu","c",-0.0062323368902152,2.48496993002519
"136","egy","a",-3.12437673934449,2.63224789915502
"137","egy","b",0.298467943966575,2.63224789915502
"138","egy","c",-0.00712258795605002,2.63224789915502
"139","esp","a",-0.320435101808316,1.693175510926
"140","esp","b",0.0458779049663038,1.693175510926
"141","esp","c",-0.00164174248127652,1.693175510926
"142","est","a",-0.122622146470391,1.59813068291937
"143","est","b",0.042767562094265,1.59813068291937
"144","est","c",-0.00359880304086107,1.59813068291937
"145","eth","a",-2.74528653517204,2.71419068344799
"146","eth","b",0.27476202836856,2.71419068344799
"147","eth","c",-0.0068700389191771,2.71419068344799
"148","fin","a",-0.0347429321483818,1.48971957782223
"149","fin","b",0.0255560393386685,1.48971957782223
"150","fin","c",-0.00385404536845181,1.48971957782223
