"","n","Coefficient","value","rescale"
"41","bgr","b",0.0376265214994459,1.78735152175195
"42","bgr","c",-0.00156223709778061,1.78735152175195
"43","bhr","a",-3.61271916163174,1.85516580457412
"44","bhr","b",0.287483727437475,1.85516580457412
"45","bhr","c",-0.00570757615493093,1.85516580457412
"46","bhs","a",-3.11511462515938,1.81864133874706
"47","bhs","b",0.258041945649996,1.81864133874706
"48","bhs","c",-0.0053322664111782,1.81864133874706
"49","bih","a",-0.237311679507855,1.85874024597983
"50","bih","b",0.0395127226208163,1.85874024597983
"51","bih","c",-0.00164267233781619,1.85874024597983
"52","blr","a",-0.196707185394919,1.70774413117836
"53","blr","b",0.0525187633248529,1.70774413117836
"54","blr","c",-0.00345711558758702,1.70774413117836
"55","blz","a",-3.20770501033672,1.95115060137985
"56","blz","b",0.270909921829509,1.95115060137985
"57","blz","c",-0.00570989549281645,1.95115060137985
"58","bol","a",-4.66823001628762,11.9413837715318
"59","bol","b",0.592414977699012,11.9413837715318
"60","bol","c",-0.0187944939859222,11.9413837715318
"61","bra","a",-2.77151921540266,2.05049873242885
"62","bra","b",0.249764901530224,2.05049873242885
"63","bra","c",-0.00561843410384865,2.05049873242885
"64","brb","a",-3.11157406315884,1.77940063442293
"65","brb","b",0.25549336002042,1.77940063442293
"66","brb","c",-0.00523268149853446,1.77940063442293
"67","btn","a",-2.69962254278196,3.94135251568082
"68","btn","b",0.300868691500725,3.94135251568082
"69","btn","c",-0.00838044315967251,3.94135251568082
"70","bwa","a",-2.90781645930737,2.60238422628391
"71","bwa","b",0.281097020965435,2.60238422628391
"72","bwa","c",-0.00678780302032082,2.60238422628391
"73","caf","a",-3.28800420513738,1.96489460573696
"74","caf","b",0.27628562478414,1.96489460573696
"75","caf","c",-0.00579391263632146,1.96489460573696
"76","can","a",-0.143747888718346,1.58152114887383
"77","can","b",0.0450691127573031,1.58152114887383
"78","can","c",-0.00343846571105679,1.58152114887383
"79","che","a",-0.242573143469735,1.8176794842637
"80","che","b",0.0575114875498967,1.8176794842637
"81","che","c",-0.00338141492342475,1.8176794842637
"82","chl","a",-0.0702990946594288,0.742560067474303
"83","chl","b",0.010684667312093,0.742560067474303
"84","chl","c",-0.000405976616517597,0.742560067474303
"85","chn","a",-0.0904363364803012,1.15442368616061
"86","chn","b",0.0139289741872333,1.15442368616061
"87","chn","c",-0.000535847193433962,1.15442368616061
"88","civ","a",-3.21835672446635,1.771850006838
"89","civ","b",0.26089099060684,1.771850006838
"90","civ","c",-0.00527494372263101,1.771850006838
"91","cmr","a",-2.86107157837826,2.01959357175398
"92","cmr","b",0.253868294744315,2.01959357175398
"93","cmr","c",-0.00562250682407293,2.01959357175398
"94","cod","a",-2.86359574316841,2.06192590856249
"95","cod","b",0.256037197957791,2.06192590856249
"96","cod","c",-0.00571445436943112,2.06192590856249
"97","cog","a",-3.06393927771368,1.88041724166695
"98","cog","b",0.2586925128306,1.88041724166695
"99","cog","c",-0.00544975139334774,1.88041724166695
"100","col","a",-2.6829558237953,2.08167677463196
"101","col","b",0.245550004522286,2.08167677463196
"102","col","c",-0.0056100151717733,2.08167677463196
"103","com","a",-3.18720520876249,1.72531622936319
"104","com","b",0.25624283723695,1.72531622936319
"105","com","c",-0.00513743967832693,1.72531622936319
"106","cpv","a",-2.77514001577404,1.98866252596588
"107","cpv","b",0.247098995547043,1.98866252596588
"108","cpv","c",-0.00549121597067967,1.98866252596588
"109","cri","a",-3.36396849330854,1.75493429844537
"110","cri","b",0.267634678003126,1.75493429844537
"111","cri","c",-0.00531055472597149,1.75493429844537
"112","cyp","a",-3.80363857420166,6.9203685522299
"113","cyp","b",0.449407504458406,6.9203685522299
"114","cyp","c",-0.0132735804386873,6.9203685522299
"115","cze","a",-0.269811824310984,1.86053328174728
"116","cze","b",0.057980201726085,1.86053328174728
"117","cze","c",-0.00309810231606133,1.86053328174728
"118","deu","a",-0.307323338686597,2.04460480121937
"119","deu","b",0.0641551370224191,2.04460480121937
"120","deu","c",-0.00333578547140856,2.04460480121937
"121","dji","a",-3.38857347496479,1.80858051451348
"122","dji","b",0.272447840293933,1.80858051451348
"123","dji","c",-0.00546439572690292,1.80858051451348
"124","dnk","a",-0.292023616491183,2.04905047196165
"125","dnk","b",0.0663460426974528,2.04905047196165
"126","dnk","c",-0.0037495240747381,2.04905047196165
"127","dom","a",-3.09273489611202,1.86406109041391
"128","dom","b",0.259415964906431,1.86406109041391
"129","dom","c",-0.00542898713172704,1.86406109041391
"130","dza","a",-2.7840540852058,4.35418283178439
"131","dza","b",0.315993514843912,4.35418283178439
"132","dza","c",-0.00896440528235776,4.35418283178439
"133","ecu","a",-2.27811518191186,2.34559699733248
