year,iso3,tag_name,value
2002,AGO,wealth,0.0683581180325271
2003,AGO,wealth,0.0757106853204621
2004,AGO,wealth,0.0869366293110809
2005,AGO,wealth,0.112279050615842
2006,AGO,wealth,0.140141800564494
2007,AGO,wealth,0.174414656725995
2008,AGO,wealth,0.189578477153919
2009,AGO,wealth,0.198711806819083
2010,AGO,wealth,0.178264638565788
2011,AGO,wealth,0.171112279917614
2012,AGO,wealth,0.188666042076581
2013,AGO,wealth,0.198363939022923
2014,AGO,wealth,0.207814219100129
2015,AGO,wealth,0.199260278475865
2016,AGO,wealth,0.177205953066027
2017,AGO,wealth,0.16664325720101
2018,AGO,wealth,0.148386322917557
2019,AGO,wealth,0.135958798278408
2020,AGO,wealth,0.123497162067829
2021,AGO,wealth,0.134047203657687
1995,ARG,wealth,0.28737328354199
1996,ARG,wealth,0.316393458380816
1997,ARG,wealth,0.360825354261411
1998,ARG,wealth,0.384901803098947
1999,ARG,wealth,0.378150040442841
2000,ARG,wealth,0.395248242130816
2001,ARG,wealth,0.382885377068959
2002,ARG,wealth,0.277619033126916
2003,ARG,wealth,0.304181327156654
2004,ARG,wealth,0.449797377628852
2005,ARG,wealth,0.619878457687774
2006,ARG,wealth,0.781138381954781
2007,ARG,wealth,0.911401690095523
2008,ARG,wealth,1.039678347407
2009,ARG,wealth,1.00315344481082
2010,ARG,wealth,1.18848613191233
2011,ARG,wealth,1.36480672566507
2012,ARG,wealth,1.41448337413386
2013,ARG,wealth,1.53231759054996
2014,ARG,wealth,1.53406909839797
2015,ARG,wealth,1.59138191609458
2016,ARG,wealth,1.58617032339413
2017,ARG,wealth,1.67590910103759
2018,ARG,wealth,1.66596183168806
2019,ARG,wealth,1.70788573397668
2020,ARG,wealth,1.61441347889801
2021,ARG,wealth,1.80256170764019
1995,AUT,wealth,0.894150718007466
1996,AUT,wealth,0.955445396919912
1997,AUT,wealth,0.971975351314262
1998,AUT,wealth,1.00025288563741
1999,AUT,wealth,1.04868480500325
2000,AUT,wealth,1.10735431902712
2001,AUT,wealth,1.14747350825643
2002,AUT,wealth,1.18120265433523
2003,AUT,wealth,1.22616084750946
2004,AUT,wealth,1.2996625117416
2005,AUT,wealth,1.37434421236027
2006,AUT,wealth,1.47093406400306
2007,AUT,wealth,1.56739241448156
2008,AUT,wealth,1.62480139726536
2009,AUT,wealth,1.62030670792355
2010,AUT,wealth,1.69744798692337
2011,AUT,wealth,1.75786696717338
2012,AUT,wealth,1.79748434733774
2013,AUT,wealth,1.85495087100992
2014,AUT,wealth,1.91601475795802
2015,AUT,wealth,1.93228077627946
2016,AUT,wealth,1.99802570992058
2017,AUT,wealth,2.1090412044293
2018,AUT,wealth,2.23783403396416
2019,AUT,wealth,2.34663344213162
2020,AUT,wealth,2.28515803321313
2021,AUT,wealth,2.44633516583395
1960,AUS,wealth,0.0936276497568818
1961,AUS,wealth,0.099465343660442
1962,AUS,wealth,0.108704379857533
1963,AUS,wealth,0.11415029378465
1964,AUS,wealth,0.12300134095595
1965,AUS,wealth,0.134922415841225
1966,AUS,wealth,0.147144954284485
1967,AUS,wealth,0.154138917764368
1968,AUS,wealth,0.16716558350017
1969,AUS,wealth,0.183572506475842
1970,AUS,wealth,0.20768872838363
1971,AUS,wealth,0.235176338384226
1972,AUS,wealth,0.261352092434573
1973,AUS,wealth,0.291998052731849
1974,AUS,wealth,0.334647389994666
1975,AUS,wealth,0.382903653626081
1976,AUS,wealth,0.410176450316627
1977,AUS,wealth,0.445799692814116
1978,AUS,wealth,0.486002217836213
1979,AUS,wealth,0.532371327829963
1980,AUS,wealth,0.600082146461902
1981,AUS,wealth,0.703714191076819
1982,AUS,wealth,0.760182045132393
1983,AUS,wealth,0.787134328637505
1984,AUS,wealth,0.833492463291683
1985,AUS,wealth,0.911575779140833
1986,AUS,wealth,0.956787132124734
1987,AUS,wealth,1.00076991452717
1988,AUS,wealth,1.10943654525738
1989,AUS,wealth,1.25011824759385
1990,AUS,wealth,1.36289087599615
1991,AUS,wealth,1.41862415317507
1992,AUS,wealth,1.45846332050899
1993,AUS,wealth,1.51368809713993
1994,AUS,wealth,1.59525899417722
1995,AUS,wealth,1.67219431150677
1996,AUS,wealth,1.72230959233103
1997,AUS,wealth,1.84917469293625
1998,AUS,wealth,2.00513140023843
1999,AUS,wealth,2.20537461152454
2000,AUS,wealth,2.43268390264001
2001,AUS,wealth,2.5940362194019
2002,AUS,wealth,2.80343101706452
2003,AUS,wealth,3.08106561099892
2004,AUS,wealth,3.46802633639692
2005,AUS,wealth,3.86693136116263
2006,AUS,wealth,4.20742477396479
2007,AUS,wealth,4.65230122207283
2008,AUS,wealth,4.93005004038751
2009,AUS,wealth,4.80669477610033
2010,AUS,wealth,5.0814610182652
2011,AUS,wealth,5.20447626211351
2012,AUS,wealth,5.21950661100482
2013,AUS,wealth,5.46142599781324
2014,AUS,wealth,5.91092951357519
2015,AUS,wealth,6.37714457756823
2016,AUS,wealth,6.78467697781195
2017,AUS,wealth,7.2313700100688
2018,AUS,wealth,7.77045839153427
2019,AUS,wealth,7.91432022410723
2020,AUS,wealth,8.12191372969872
2021,AUS,wealth,8.70160258006276
1995,ABW,wealth,0.00087998238746699
1996,ABW,wealth,0.00103924083133864
1997,ABW,wealth,0.00126857056400124
1998,ABW,wealth,0.00147880966216979
1999,ABW,wealth,0.00165877294298091
2000,ABW,wealth,0.00203371910348823
2001,ABW,wealth,0.00217102158945787
2002,ABW,wealth,0.00221897692544662
2003,ABW,wealth,0.00264840460187917
2004,ABW,wealth,0.00319565689285635
2005,ABW,wealth,0.00294560042239576
2006,ABW,wealth,0.00402058300662976
2007,ABW,wealth,0.0039835541810101
2008,ABW,wealth,0.00481706050054393
2009,ABW,wealth,0.00453132194168579
2010,ABW,wealth,0.00446760454277653
2011,ABW,wealth,0.0046419759471716
2012,ABW,wealth,0.00502801811134884
2013,ABW,wealth,0.00532245946902146
2014,ABW,wealth,0.00567126788618729
2015,ABW,wealth,0.00609042918431684
2016,ABW,wealth,0.00640064570678342
2017,ABW,wealth,0.00675369536439142
2018,ABW,wealth,0.00700393664956365
2019,ABW,wealth,0.00717453452951518
2020,ABW,wealth,0.0056660275565551
2021,ABW,wealth,0.00633135076917807
1995,AZE,wealth,0.0197212657292942
1996,AZE,wealth,0.0205297201903379
1997,AZE,wealth,0.0199966561649557
1998,AZE,wealth,0.0199122106352071
1999,AZE,wealth,0.020418940629686
2000,AZE,wealth,0.0218358943441676
2001,AZE,wealth,0.0232605870485306
2002,AZE,wealth,0.0245011441855428
2003,AZE,wealth,0.026291841109119
2004,AZE,wealth,0.0279904865056968
2005,AZE,wealth,0.0422205013844515
2006,AZE,wealth,0.0704293518062806
2007,AZE,wealth,0.1029146387093
2008,AZE,wealth,0.135281462811632
2009,AZE,wealth,0.168293226158048
2010,AZE,wealth,0.190509843905033
2011,AZE,wealth,0.199484815923107
2012,AZE,wealth,0.21983753446396
2013,AZE,wealth,0.243959656442856
2014,AZE,wealth,0.257920317780145
2015,AZE,wealth,0.321544070932931
2016,AZE,wealth,0.304444682625454
2017,AZE,wealth,0.322039460122366
2018,AZE,wealth,0.335094455309754
2019,AZE,wealth,0.358549174891302
2020,AZE,wealth,0.351122947971918
2021,AZE,wealth,0.372299058492476
1995,BIH,wealth,0.0201917991646471
1996,BIH,wealth,0.040683001492677
1997,BIH,wealth,0.0561172361561615
1998,BIH,wealth,0.0789904040344166
1999,BIH,wealth,0.0851907242472369
2000,BIH,wealth,0.0952718351136658
2001,BIH,wealth,0.0999842927868792
2002,BIH,wealth,0.106018954601418
2003,BIH,wealth,0.112183828574386
2004,BIH,wealth,0.123094275548954
2005,BIH,wealth,0.132853970503945
2006,BIH,wealth,0.145688715664633
2007,BIH,wealth,0.161431542608287
2008,BIH,wealth,0.176671917649336
2009,BIH,wealth,0.171638767639165
2010,BIH,wealth,0.171497628845119
2011,BIH,wealth,0.175925844137225
2012,BIH,wealth,0.177364149926953
2013,BIH,wealth,0.187006059802278
2014,BIH,wealth,0.191725076823549
2015,BIH,wealth,0.199730506845069
2016,BIH,wealth,0.208915739058183
2017,BIH,wealth,0.219428117057034
2018,BIH,wealth,0.237560455718044
2019,BIH,wealth,0.251764885204918
2020,BIH,wealth,0.247779900269881
2021,BIH,wealth,0.264255661786925
1995,BRB,wealth,6.11926908739604e-05
1996,BRB,wealth,0.000250976469726498
1997,BRB,wealth,0.00038525422272276
1998,BRB,wealth,0.000490596501336974
1999,BRB,wealth,0.000613596460236561
2000,BRB,wealth,0.000712471181377045
2001,BRB,wealth,0.00079041865382385
2002,BRB,wealth,0.000990053419108644
2003,BRB,wealth,0.00126078529656395
2004,BRB,wealth,0.00142854455267427
2005,BRB,wealth,0.00149100551532328
2006,BRB,wealth,0.00145001117964831
2007,BRB,wealth,0.00181699315658834
2008,BRB,wealth,0.001993736410341
2009,BRB,wealth,0.00165684746315541
2010,BRB,wealth,0.00134892812061417
2011,BRB,wealth,0.00113934853083568
2012,BRB,wealth,0.000760484460126085
2013,BRB,wealth,0.00071588852266388
2014,BRB,wealth,0.000216550773379854
2015,BRB,wealth,0.000911373797366162
2016,BRB,wealth,0.000990180386162751
2017,BRB,wealth,0.00116000165589951
2018,BRB,wealth,0.00136751272755708
2019,BRB,wealth,0.00157358020893313
2020,BRB,wealth,0.00146357553316871
2021,BRB,wealth,0.00175439857668414
1995,BGD,wealth,0.203531347849528
1996,BGD,wealth,0.227603348548961
1997,BGD,wealth,0.254048172973365
1998,BGD,wealth,0.280102493858232
1999,BGD,wealth,0.307741122153784
2000,BGD,wealth,0.340652175447802
2001,BGD,wealth,0.373939125436926
2002,BGD,wealth,0.408512209768869
2003,BGD,wealth,0.457512557706886
2004,BGD,wealth,0.508512932201495
2005,BGD,wealth,0.567318214442981
2006,BGD,wealth,0.645474581619706
2007,BGD,wealth,0.732654359939412
2008,BGD,wealth,0.812987571242039
2009,BGD,wealth,0.885033785007938
2010,BGD,wealth,0.978727371298364
2011,BGD,wealth,1.08181691093442
2012,BGD,wealth,1.18362360681359
2013,BGD,wealth,1.29015856822734
2014,BGD,wealth,1.41571308200156
2015,BGD,wealth,1.54535062013169
2016,BGD,wealth,1.70183417767652
2017,BGD,wealth,1.88734081566134
2018,BGD,wealth,2.10503099734666
2019,BGD,wealth,2.46980424586424
2020,BGD,wealth,2.62469060251842
2021,BGD,wealth,2.84525755015262
1995,BEL,wealth,1.36474224874063
1996,BEL,wealth,1.43140283920572
1997,BEL,wealth,1.53476915068383
